"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Troglohyphantes gracilis" "Linyphiidae" "Troglohyphantes" "gracilis" "Troglohyphantes gracilis" "urn:lsid:nmbe.ch:spidersp:013055" "Fage" 1919 0 "Slovenia" "-" "Deeleman-Reinhold_1978b" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 0 2.98 3.82 NA 3.12 3.4 3.12 0.918 3.26 1.44 1.34 1.39 1.06 1.2 1.13 1.23 NA NA NA NA 2.815 2.93 2.873 0.881 2.92 3.12 3.02 0.926 NA NA NA NA NA NA 0.055 "Present" NA 0.07 0.07 NA NA 0.05 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes hadzii" "Linyphiidae" "Troglohyphantes" "hadzii" "Troglohyphantes hadzii" "urn:lsid:nmbe.ch:spidersp:013057" "Kratochvi­l" 1934 0 "Bosnia and Herzegovina" "Croatian Biospeleological Society collection: measured samples CBSSAR 540 female & 545 male" "Kratochvíl_1934/Deeleman-Reinhold_1978b" "no" "Troglophile" "Sheet" 0 1 0 0 0 "Soil + Wall" "Variable" 0 0 1 2.6 3.06 1.45 2.8 2.83 2.125 0.751 2.478 1.225 1.03 1.128 0.96 0.91 0.935 1.206 0.345 0.321 NA NA 2.89 2.64 2.765 1.116 3.2 2.78 2.99 1.207 0.261 0.244 NA 0.111 0.125 0.118 0.053 "Present" NA 0.075 0.073 0.565 NA 0.05 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes herculanus" "Linyphiidae" "Troglohyphantes" "herculanus" "Troglohyphantes herculanus" "urn:lsid:nmbe.ch:spidersp:013060" "Kulczynski" 1894 1 "Romania" "unspecified if Deep or Entrance, howewer in caves" "Dumitrescu_&_Georgescu_1970/Fage_1931" "yes" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 0 2.6 3 NA 2.5 2.8 2.5 0.893 2.65 1.125 NA 1.125 0.925 NA 0.92 1.223 NA NA NA NA 1.625 NA 1.62 0.611 1.625 NA 1.625 0.613 NA NA NA NA NA NA 0.025 "Present" 0.05 0.05 0.05 NA 0.05 0.075 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes inermis" "Linyphiidae" "Troglohyphantes" "inermis" "Troglohyphantes inermis" "urn:lsid:nmbe.ch:spidersp:013061" "Deeleman-Reinhold" 1978 0 "North Macedonia" "-" "Deeleman-Reinhold_1978b" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Partly" 0 0 0 NA 3.12 NA 2.64 3.12 2.64 0.846 2.88 1.32 1.08 1.2 0.98 0.91 0.945 1.27 0.38 0.34 0.36 0.3 2.88 2.64 2.76 0.958 3.02 2.88 2.95 1.024 NA NA NA NA NA NA 0.045 "Present" NA 0.068 0.058 NA NA 0.045 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes karolianus" "Linyphiidae" "Troglohyphantes" "karolianus" "Troglohyphantes karolianus" "urn:lsid:nmbe.ch:spidersp:042155" "Topcu et al." 2008 0 "Turkey" "-" "Topçu_Türkeş&Seyyar_2008" "yes" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 NA 2.72 NA 2.11 2.72 2.11 0.776 2.415 1.1 0.96 1.03 0.94 0.9 0.92 1.12 NA NA NA NA 2.37 2.24 2.305 0.954 2.5 2.37 2.435 1.008 NA NA NA 0.22 0.24 0.23 NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes kordunlikanus" "Linyphiidae" "Troglohyphantes" "kordunlikanus" "Troglohyphantes kordunlikanus" "urn:lsid:nmbe.ch:spidersp:013068" "Deeleman-Reinhold" 1978 0 "Croatia, Bosnia and Herzegovina" "small mammals burrows: MSS" "Deeleman-Reinhold_1978b" "no" "Troglophile" "Sheet" 0 1 1 1 0 "Soil + Wall" "Variable" 0 0 0 2.584 2.4 2.484 2.45 2.4 2.45 1.021 2.425 1.1 1.181 1.14 0.89 1.1 0.995 1.146 0.379 0.411 0.395 0.346 1.78 1.92 1.85 0.763 2.11 2.02 2.065 0.852 0.273 0.262 NA 0.181 0.178 0.18 0.04 "Present" 0.087 0.058 0.06 0.341 0.052 0.048 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes lanai" "Linyphiidae" "Troglohyphantes" "lanai" "Troglohyphantes lanai" "urn:lsid:nmbe.ch:spidersp:043629" "Isaia & Pantini" 2010 0 "Italy" "-" "Isaia&Pantini_2010" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 1 NA 3.19 NA 2.93 3.19 2.93 0.918 3.06 1.53 1.38 1.455 1.33 1.23 1.28 1.137 0.521 0.533 0.527 0.362 2.9 2.87 2.885 0.943 3.13 3.13 3.13 1.023 NA NA NA 0.228 0.23 0.229 0.03 "Present" 0.061 0.046 0.046 0.2 0.11 1.1 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes lesserti" "Linyphiidae" "Troglohyphantes" "lesserti" "Troglohyphantes lesserti" "urn:lsid:nmbe.ch:spidersp:013072" "Kratochvi­l" 1935 0 "Montenegro" "record for Bosnia and Herzegovina is probably wrong; Croatian Biospeleological Society collections CBSSAR 6109 female & 5093 male" "Kratochvíl, J. (1935c). Araignées cavernicoles de Krivošije. Práce Moravské Přírodovědecké Společnosti 9(12): 1-25. ;Deeleman-Reinhold_1978b" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 3.36 4.2 3.5 3.84 3.53 3.67 1.04 3.6 1.44 1.78 1.61 1.34 1.3 1.32 1.22 0.329 0.357 NA NA 3.416 3.12 3.268 0.908 3.614 3.45 3.532 0.981 0.245 0.258 NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes lessinensis" "Linyphiidae" "Troglohyphantes" "lessinensis" "Troglohyphantes lessinensis" "urn:lsid:nmbe.ch:spidersp:013073" "Caporiacco" 1936 0 "Italy" "-" "Caporiacco_1936d/Caporiacco_1948b/Thaler_1967/Brignoli_1971d/Brignoli_1979o/Gasparo_2000b" "yes" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Variable" 0 0 0 2.84 3.516 3 3.45 3.178 3.225 1.015 3.202 1.2 1.45 1.325 1 1.1 1.05 1.262 NA NA NA NA 2.6 2.65 2.625 0.82 2.9 2.1 2.5 0.781 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes liburnicus" "Linyphiidae" "Troglohyphantes" "liburnicus" "Troglohyphantes liburnicus" "urn:lsid:nmbe.ch:spidersp:013074" "Caporiacco" 1927 0 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSSAR 2635 male & 6609 female" "Caporiacco, L. di (1927a). Alcuni ragni del Carso liburnico. Bollettino della Società Entomologica Italiana 59: 41-45.; Deeleman-Reinhold_1978b" "yes" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 1 0 1 4.5 4.9 3.698 4.32 4.7 4.32 0.919 4.51 2.08 2.06 2.07 1.78 1.68 1.73 1.197 0.503 0.606 NA NA 4.2 4.32 4.26 0.945 4.9 4.61 4.755 1.054 0.382 0.417 NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes lucifer" "Linyphiidae" "Troglohyphantes" "lucifer" "Troglohyphantes lucifer" "urn:lsid:nmbe.ch:spidersp:049228" "Isaia, Mammola & Pantini" 2017 0 "Italy" "-" "Isaia_Mammola&Pantini_in_Isaia_et_al_2017" "yes" "Troglophile" "Sheet" 0 1 1 1 0 "Soil + Wall" "Fully" 0 0 0 3.48 3.7 NA 3.41 3.59 3.41 0.95 3.5 1.23 1.25 1.24 1 1.12 1.06 1.17 0.559 0.583 0.571 0.46 2.5 3.19 2.845 0.813 3.22 3.28 3.25 0.929 NA NA NA 0.236 0.59 0.413 0.04 "Present" 0.07 0.07 0.07 0.151 0.04 0.06 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes lucifuga" "Linyphiidae" "Troglohyphantes" "lucifuga" "Troglohyphantes lucifuga" "urn:lsid:nmbe.ch:spidersp:013075" "Simon" 1884 1 "Italy, France, Switzerland" "-" "Fage_1919/Dresco_1959c/Pesarini_2011/Isaia_et_al_2017" "no" "Troglophile" "Sheet" 0 1 0 1 0 "Soil + Wall" "Fully" 0 0 1 NA 4.5 3.49 3.8 4.5 3.645 0.81 4.073 1.77 1.58 1.675 1.38 1.22 1.3 1.288 0.635 0.718 0.677 0.404 3.3 3.27 3.285 0.807 3.36 3.33 3.345 0.821 NA NA NA 0.32 0.494 0.407 0.036 "Present" 0.104 0.096 0.089 0.2 0.057 0.064 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes marqueti" "Linyphiidae" "Troglohyphantes" "marqueti" "Troglohyphantes marqueti" "urn:lsid:nmbe.ch:spidersp:013076" "Simon" 1884 1 "Spain, France" "unspecified if Deep or Entrance, howewer in caves" "Simon_1884a/Fage_1919" "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Partly" 0 0 0 NA 4 NA NA 4 NA NA 4 2.3 2.2 2.25 NA NA NA NA NA NA NA NA 3.34 NA 3.34 0.835 3.52 NA 3.52 0.88 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes noricus" "Linyphiidae" "Troglohyphantes" "noricus" "Troglohyphantes noricus" "urn:lsid:nmbe.ch:spidersp:013082" "Thaler & Polenec" 1974 1 "Germany, Austria" "-" "Thaler&Polenec_1974" "no" "Troglophile" "Sheet" 0 0 1 1 0 "Soil + Wall" "Fully" 0 0 0 NA 3.5 NA 3.3 3.5 3.3 0.943 3.4 1.57 1.58 1.575 1.11 1.25 1.18 1.335 NA NA NA NA 1.93 2.2 2.065 0.607 2 2.42 2.21 0.65 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes nyctalops" "Linyphiidae" "Troglohyphantes" "nyctalops" "Troglohyphantes nyctalops" "urn:lsid:nmbe.ch:spidersp:013085" "Simon" 1911 0 "Spain" "unspecified if Deep or Entrance, howewer in caves" "Simon_1911a/Fage_1919" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 1 3 5 NA NA 4 4 1 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes orpheus" "Linyphiidae" "Troglohyphantes" "orpheus" "Troglohyphantes orpheus" "urn:lsid:nmbe.ch:spidersp:013088" "Simon" 1884 1 "France" "unspecified if Deep or Entrance, howewer in caves" "Simon_1884a/Fage_1919" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 3.33 4 NA 3.07 3.665 3.07 0.838 3.368 1.7 1.49 1.595 1.33 1.29 1.31 1.218 0.42 0.56 0.49 0.307 2.34 2.2 2.27 0.674 2.36 2.37 2.365 0.702 NA NA NA 0.358 0.381 0.37 0.041 "Present" 0.043 0.06 0.057 0.136 0.079 0.064 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes pedemontanus" "Linyphiidae" "Troglohyphantes" "pedemontanus" "Troglohyphantes pedemontanus" "urn:lsid:nmbe.ch:spidersp:013090" "Gozo" 1908 1 "Italy" "-" "Gozo_1908/Brignoli_1719d/Isaia_et_al_2011" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 NA 2.95 NA 2.85 2.95 2.85 0.966 2.9 1.15 1.25 1.2 0.9 1 0.95 1.263 0.468 0.51 0.489 0.408 2.4 2.4 2.4 0.828 2.65 2.65 2.65 0.914 NA NA NA 0.201 0.294 0.248 0.01 "Present" 0.017 0.018 0.017 0.063 0.15 0.13 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes pisidicus" "Linyphiidae" "Troglohyphantes" "pisidicus" "Troglohyphantes pisidicus" "urn:lsid:nmbe.ch:spidersp:013092" "Brignoli" 1971 0 "Turkey" "unspecified if Deep or Entrance, howewer in caves" "Brignoli_1971a" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 1 NA 2.1 NA NA 2.1 NA NA 2.1 0.85 NA 0.85 0.6 NA 0.6 1.417 NA NA NA NA 1.87 NA NA NA 2.17 NA 2.17 1.033 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes poleneci" "Linyphiidae" "Troglohyphantes" "poleneci" "Troglohyphantes poleneci" "urn:lsid:nmbe.ch:spidersp:013094" "Wiehle" 1964 0 "Italy, Slovenia" "small mammals burrows: MSS" "Wiehle, H. (1964b). Spinnen aus Slovenien, II. Senckenbergiana Biologica 45: 641-652. download pdf;Miller&Polenec_1975b; Deeleman-Reinhold C L (1978b) Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220" "no" "Troglophile" "Sheet" 0 0 1 1 0 "Soil + Wall" "Partly" 0 0 0 NA 2.3 2.16 2.45 2.3 2.305 1.002 2.303 0.91 1.13 1.02 0.77 0.975 0.873 1.169 NA NA NA NA 1.73 1.82 1.775 0.771 1.73 1.92 1.825 0.793 NA NA NA 0.18 0.23 0.205 0.045 "Present" NA 0.08 0.088 0.346 NA 0.055 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes polyophthalmus" "Linyphiidae" "Troglohyphantes" "polyophthalmus" "Troglohyphantes polyophthalmus" "urn:lsid:nmbe.ch:spidersp:013095" "Joseph" 1881 0 "Slovenia" "-" "Simon_1894a/Fage_1919/Deeleman-Reinhold_1978b" "yes" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 3 3.65 NA 3.36 3.575 3.36 0.94 3.468 1.64 1.63 1.635 1.3 1.34 1.32 1.239 0.62 0.72 0.67 0.41 2.515 2.83 2.673 0.771 2.7 3.02 2.86 0.825 NA NA NA NA NA NA 0.013 "Present" NA 0.023 0.03 NA NA 0.083 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes pumilio" "Linyphiidae" "Troglohyphantes" "pumilio" "Troglohyphantes pumilio" "urn:lsid:nmbe.ch:spidersp:013098" "Denis" 1959 0 "France" "unspecified if Deep or Entrance, howewer in caves" "Denis_1959a" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 1 NA NA NA 2.3 NA 2.3 NA 2.3 NA 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes racovitzai" "Linyphiidae" "Troglohyphantes" "racovitzai" "Troglohyphantes racovitzai" "urn:lsid:nmbe.ch:spidersp:013100" "Dumitrescu & Georgescu" 1970 0 "Romania" "unspecified if Deep or Entrance, howewer in caves" "Dumitrescu&Georgescu_1970" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 1 NA 2.5 NA NA 2.5 2.5 1 2.5 0.95 NA 0.95 0.75 NA 0.75 1.267 NA NA NA NA 1.325 1.325 NA NA 1.5 NA 1.5 0.6 NA NA NA NA NA NA 0.02 "Present" 0.05 0.05 0.05 NA 0.07 0.07 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes roberti" "Linyphiidae" "Troglohyphantes" "roberti" "Troglohyphantes roberti" "urn:lsid:nmbe.ch:spidersp:013102" "Deeleman-Reinhold" 1978 0 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSSAR 5266 male & female" "Deeleman-Reinhold_1978b" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 1 0 1 3.807 5.28 3.468 5 5.28 5 0.947 5.14 1.667 1.803 1.735 1.554 1.58 1.567 1.107 0.517 0.512 NA NA 4.51 4.56 4.535 0.882 4.51 4.8 4.655 0.906 0.338 0.38 NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes ruffoi" "Linyphiidae" "Troglohyphantes" "ruffoi" "Troglohyphantes ruffoi" "urn:lsid:nmbe.ch:spidersp:013104" "Caporiacco" 1936 0 "Italy" "unspecified if Deep or Entrance, howewer in caves" "Caporiacco_1936d/Thaler_1967/Brignoli_1971d/Thaler_1987a" "yes" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Fully" 0 0 0 2.5 3.6 2.3 3.2 3.05 2.75 0.902 2.9 1 1.17 1.085 0.9 0.99 0.945 1.148 0.305 0.48 0.393 0.362 1.95 1.9 1.925 0.664 1.9 2.25 2.075 0.716 NA NA NA 1.82 0.245 1.033 0.049 "Present" 0.059 0.081 0.083 0.066 0.049 0.049 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes salax" "Linyphiidae" "Troglohyphantes" "salax" "Troglohyphantes salax" "urn:lsid:nmbe.ch:spidersp:013106" "Kulczynski" 1914 1 "Bosnia and Herzegovina" "unspecified if Deep or Entrance, howewer in caves; Croatian Biospeleological Society collection: measured samples CBSSAR 3689 male & 4454 female; record for Croatia is wrong" "Kulczyński_1914/Fage_1919/Kratochvíl_1934/Deeleman-Reinhold_1978b" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 2.5 2.9 2.88 3.24 2.7 3.05 1.13 2.875 1.17 1.39 1.28 0.93 1.245 1.088 1.177 0.38 0.532 0.456 0.356 2.215 2.715 2.465 0.857 2.27 2.845 2.558 0.89 0.268 0.351 NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes sbordonii" "Linyphiidae" "Troglohyphantes" "sbordonii" "Troglohyphantes sbordonii" "urn:lsid:nmbe.ch:spidersp:013107" "Brignoli" 1975 0 "Austria, Italy, Slovenia" "unspecified if Deep or Entrance, howewer in caves" "Brignoli_1975c/Deeleman-Reinhold/Thaler_1982b//Gasparo_2000b" "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Fully" 0 0 0 2.5 3.2 2.5 3.1 2.85 2.8 0.982 2.825 1.2 1.2 1.2 0.87 0.96 0.915 1.311 NA NA NA NA 2.05 2.25 2.15 0.761 2.25 2.42 2.335 0.827 NA NA NA NA NA NA 0.045 "Present" NA 0.06 0.07 NA NA 0.05 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes similis" "Linyphiidae" "Troglohyphantes" "similis" "Troglohyphantes similis" "urn:lsid:nmbe.ch:spidersp:013111" "Fage" 1919 0 "Slovenia" "unspecified if Deep or Entrance, howewer in caves" "Fage_1919" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Partly" 0 0 1 NA 2.5 NA 2.5 2.5 2.5 1 2.5 NA NA NA NA NA NA NA NA NA NA NA 2.04 NA NA NA 2.28 NA 2.28 0.912 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes sketi" "Linyphiidae" "Troglohyphantes" "sketi" "Troglohyphantes sketi" "urn:lsid:nmbe.ch:spidersp:013113" "Deeleman-Reinhold" 1978 0 "Slovenia, Croatia" "unspecified if Deep or Entrance, howewer in caves;  Croatian Biospeleological Society collection: measured samples CBSSAR 2230 female" "Deeleman-Reinhold_1978b" "no" "Troglophile" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 0 NA 2.78 NA 2.88 2.78 2.88 1.036 2.83 1.15 1.34 1.245 0.95 1.15 1.05 1.186 0.38 0.38 0.38 0.305 1.97 2.06 2.015 0.712 2.21 2.3 2.255 0.797 0.249 NA NA 0.145 NA 0.145 0.035 "Present" 0.07 0.053 0.05 0.358 0.047 0.058 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes solitarius" "Linyphiidae" "Troglohyphantes" "solitarius" "Troglohyphantes solitarius" "urn:lsid:nmbe.ch:spidersp:013114" "Fage" 1919 0 "France" "unspecified if Deep or Entrance, howewer in caves" "Fage_1919" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Partly" 0 0 1 NA NA NA 3 NA 3 NA 3 NA NA NA NA NA NA NA NA NA NA NA NA 2.09 NA NA NA 2.26 2.26 0.753 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes strandi" "Linyphiidae" "Troglohyphantes" "strandi" "Troglohyphantes strandi" "urn:lsid:nmbe.ch:spidersp:013117" "Absolon & Kratochvi­l" 1932 0 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSSAR 7000 female & 6361 male" "Absolon&Kratochvíl_1932/Kratochvíl_1934/Deeleman-Reinhol_ 1978b" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 1 3.26 3.6 3.307 3.6 3.74 3.6 0.963 3.67 1.44 1.53 1.485 1.25 1.44 1.345 1.104 0.443 0.5 NA NA 3.15 3.26 3.205 0.873 3.285 3.5 3.393 0.924 0.301 0.327 NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes subalpinus" "Linyphiidae" "Troglohyphantes" "subalpinus" "Troglohyphantes subalpinus" "urn:lsid:nmbe.ch:spidersp:013118" "Thaler" 1967 0 "Germany, Austria, Slovenia" "unspecified if Deep or Entrance, howewer in caves" "Thaler_1967" "yes" "Troglophile" "Sheet" 0 1 0 1 0 "Soil + Wall" "Fully" 0 0 0 NA 3 NA 2.6 3 2.6 0.867 2.8 1.15 1.12 1.135 1.04 NA 1.04 1.091 NA NA NA NA 2.25 2.33 2.29 0.818 2.45 2.64 2.545 0.909 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 1
"Troglohyphantes trispinosus" "Linyphiidae" "Troglohyphantes" "trispinosus" "Troglohyphantes trispinosus" "urn:lsid:nmbe.ch:spidersp:013125" "Miller & Polenec" 1975 0 "Slovenia" "small mammals burrows: MSS" "Miller & Polenec_1975b" "yes" "Troglophile" "Sheet" 0 0 1 0 0 "Soil + Wall" "Fully" 0 0 0 NA NA NA NA NA NA NA 2 1 1.1 1.05 NA NA NA NA NA NA NA NA 1.3 1.525 1.413 0.706 1.6 1.965 1.783 0.891 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes troglodytes" "Linyphiidae" "Troglohyphantes" "troglodytes" "Troglohyphantes troglodytes" "urn:lsid:nmbe.ch:spidersp:013126" "Kulczynski" 1914 1 "Croatia, Bosnia and Herzegovina, Montenegro" "Measured samples CBSS AR 3455 female & 6130 male" "Kulczyński_1914/Fage_1919/Deeleman-Reinhold_1978b" "no" "Troglophile" "Sheet" 0 1 0 1 0 "Soil + Wall" "Variable" 0 0 1 2.45 2.85 2.671 2.4 2.65 2.4 0.906 2.525 1.075 1.195 1.135 0.905 1.025 0.965 1.176 0.384 0.409 NA NA 2.655 2.88 2.768 1.096 2.735 3.1 2.918 1.155 0.238 0.282 NA 0.176 0.186 0.181 0.055 "Present" 0.08 0.083 0.078 0.408 0.03 0.033 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes turcicus" "Linyphiidae" "Troglohyphantes" "turcicus" "Troglohyphantes turcicus" "urn:lsid:nmbe.ch:spidersp:047310" "Topku et al." 2014 0 "Turkey" "unspecified if Deep or Entrance, howewer in caves" "Topçu_et_al_2014" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 0 NA 3.5 NA 3 3.5 3 0.857 3.25 1.5 1 1.25 1.25 1.2 1.225 1.02 NA NA NA NA 1.6 2 1.8 0.554 2 NA 2 0.615 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Troglohyphantes typhlonetiformis" "Linyphiidae" "Troglohyphantes" "typhlonetiformis" "Troglohyphantes typhlonetiformis" "urn:lsid:nmbe.ch:spidersp:013127" "Absolon & Kratochvi­l" 1932 0 "Austria, Slovenia" "unspecified if Deep or Entrance, howewer in caves" "Absolon & Kratochvíl_1932/Deeleman-Reinhold_1978b/Thaler K (1999) Troglophantes typhlonetiformis Absolon et Kratochvil - neu für Österreich (Arachnida: Araneae: Linyphiidae). Carinthia II 189/109: 467-469" "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 1 0 NA 2.64 2.1 2.1 2.64 2.1 0.795 2.37 1.06 1.005 1.033 0.835 0.91 0.873 1.183 0.29 0.34 0.315 0.305 2.16 2 2.08 0.878 2.16 2.35 2.255 0.951 NA NA NA NA NA NA 0.01 "Present" NA 0.013 0.016 NA NA 0.07 1 0 0 0 1 1 0 0 0 0 0
"Typhlonesticus absoloni" "Nesticidae" "Typhlonesticus" "absoloni" "Typhlonesticus absoloni" "urn:lsid:nmbe.ch:spidersp:006741" "Kratochvi­l" 1933 1 "Montenegro" "Only known from few caves in Montenegro; Martina Pavlek collection: measured samples CBSSAR 3736 female & 3632 male" "Kulczyński, 1914; Kratochvil, 1939; Deelman-Reinold, 1974; Kratochvíl, J. (1939). À propos des deux araignées cavernicoles de Yougoslavie. Věstník Československé Zoologické Společnosti v Praze 6-7: 279-289." "no" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 1 0 1 5.63 6.8 4.194 6.5 5.3 5 0.943 5.75 2.063 2.019 2.26 1.837 1.936 2 1.13 0.634 0.633 NA NA 6.715 6.465 6.3 1.096 6.535 6.71 6.4 1.113 NA NA NA 0.59 0.58 0.585 0 "Absent_Adaptation" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
